SampleID;x1;x2;y; 
7725;1.32875;2;0.213185868;
7706;0.9975;2;0.392611706;
7705;1.25375;2;0.332803093;
1312;1.25375;2;0.691654768;
541;0.98;2;0.572037543;
2295;0.69;2;0.691654768;
1344;0.92;2;0.60337403;
1350;0.646;2;0.811271993;
1173;1.172083333;2;0.930889218;
828;0.7;2;0.631846155;
1449;0.7;2;0.631846155;
677;0.6;2;0.572037543;
827;1.172083333;2;0.930889218;
486;3.234166667;3;0.332803093;
1220;2.28;4;0.392611706;
912;2.328333333;4;0.392611706;
1220B;2.28;4;0.51222893;
661K;2.328333333;4;0.332803093;
908;2.328333333;4;0.272994481;
661;2.328333333;4;0.811271993;
602;3.234166667;3;0.631846155;
658;2.328333333;4;0.452420318;
1950;0.89;3;0.213185868;
1492;2.045;3;0.153377256;
1573;1.21375;4;0.332803093;
905;1.21375;4;0.631846155;
899;1.795;4;0.392611706;
401;2.045;3;0.272994481;
669;1.96;3;0.572037543;
1039;4.4213;3;0.871080605;
907;4.4213;3;0.392611706;
8326;1.96;3;0.75146338;
904W;4.4213;3;0.75146338;
901;4.4213;3;0.811271993;
1736;4.4213;3;0.75146338;
474;0.84125;2;0.737369551;
RORW4.1_B11_2011_08;1.71;1;1.05073235;
RORW2.1_B5_2009_07;0.837;2;0.74154109;
RORW4.1_B11_2011_10;1.71;1;0.990923738;
RORW7.1_B148_2010_05;1.83;2;0.931115125;
RORW7.1_B148_2010_07;1.83;2;1.2899668;
RORW7.1_B148_2010_09;1.83;2;1.110540963;
RORW2.1_B5_2009_09;0.837;2;0.801349703;
RORW4.1_B11_2011_05;1.71;1;1.170349575;
RORW13.1_B5_2011_10;1.4;2;0.572263451;
RORW4.1_B11_2010_06;1.71;1;0.691880676;
RORW4.1_B11_2010_10;1.71;1;1.110540963;
RORW7.1_B148_2011_05;1.83;2;1.05073235;
RORW7.1_B148_2011_09;1.83;2;0.751689288;
RORW2.1_B5_2009_04;0.837;2;0.74154109;
RORW2.1_B6_2009_10;0.804;2;0.681732478;
RORW14.1_B6_2010_10_r;1.84;1;0.756847545;
RORW14.1_B4_2010_10_l;1.52;1;0.76207085;
RORW14.1_B6_2010_09_r;1.84;1;0.87646477;
RORW2.1_B7_2010_07;0.6;2;0.751689288;
RORW14.1_B7_2010_09_m;1.58;1;0.756847545;
RORW2.1_B7_2011_05;0.6;2;0.8114979;
RORW14.1_B3_2010_05;1.422;1.5;0.399530032;
RORW2.1_B7_2010_08;0.6;2;0.8114979;
RORW2.1_B7_2011_04;0.6;2;0.632072063;
RORW2.1_B7_2010_04;0.6;2;0.751689288;
RORW14.1_B7_2010_09_r;1.58;1;0.756847545;
RORW14.1_B6_2010_10_m;1.84;1;0.63723032;
RORW14.1_B4_2010_04;1.52;1;0.76207085;
RORW14.1_B3_2010_08;1.422;1.5;0.459338644;
RORW14.1_B7_2011_06_l;1.58;1;0.756847545;
RORW14.1_B3_2011_07;1.422;1.5;0.578955869;
RORW2.1_B6_2009_09;0.804;2;0.74154109;
RORW14.1_B6_2011_06_r;1.84;1;0.756847545;
RORW14.1_B4_2010_09_r;1.52;1;0.76207085;
RORW14.1_B7_2010_10_m;1.58;1;0.697038933;
RORW14.1_B6_2011_08_m;1.84;1;0.756847545;
RORW14.1_B3_2011_07_l;1.422;1.5;0.339721419;
RORW14.1_B7_2010_10_r;1.58;1;0.756847545;
RORW14.1_B4_2010_09_m;1.52;1;0.821879462;
RORW14.1_B7_2011_08_l;1.58;1;0.756847545;
RORW14.1_B5_2010_10_l;1.42;2;0.697038933;
RORW14.1_B5_2010_10_r;1.42;2;0.756847545;
RORW4.1_B11_2009_10;1.086;1;0.931115125;
RORW14.1_B5_2010_09_r;1.42;2;0.697038933;
RORW14.1_B3_2011_05;1.422;1.5;0.578955869;
RORW14.1_B3_2009_06;0.539;1.5;0.279912807;
RORW14.1_B4_2011_06;1.52;1;1.001305299;
RORW4.1_B7_2009_10;1.612;1;0.653271705;
RORW12.1.9_2010_08;1.33;1.5;0.572263451;
RORW14.1_B4_2011_04;1.52;1;0.702262237;
RORW14.1_B5_2010_10_m;1.42;2;0.756847545;
RORW14.1_B5_2011_10_m;1.42;2;0.756847545;
RORW14.1_B3_2009_09;0.539;1.5;0.220104194;
RORW14.1_B7_2011_10_l;1.58;1;0.697038933;
RORW4.1_B11_2009_05;1.086;1;0.691880676;
RORW14.1_B7_2011_06_m;1.58;1;0.756847545;
RORW14.1_B7_2011_10_r;1.58;1;0.697038933;
RORW14.1_B4_2010_08;1.52;1;0.881688074;
RORW14.1_B4_2010_09_l;1.52;1;0.881688074;
RORW14.1_B4_2010_09_17_r;1.52;1;0.702262237;
